CDMA Fwd 출력(or AGC) (Avg)
RANGE = 26
UPPER = 22
22.0 dBm = 2.277
21.0 dBm = 2.219
20.0 dBm = 2.161
19.0 dBm = 2.104
18.0 dBm = 2.046
17.0 dBm = 1.981
16.0 dBm = 1.917
15.0 dBm = 1.852
14.0 dBm = 1.799
13.0 dBm = 1.747
12.0 dBm = 1.694
11.0 dBm = 1.649
10.0 dBm = 1.604
9.0 dBm = 1.559
8.0 dBm = 1.523
7.0 dBm = 1.488
6.0 dBm = 1.452
5.0 dBm = 1.431
4.0 dBm = 1.411
3.0 dBm = 1.390
2.0 dBm = 1.376
1.0 dBm = 1.363
0.0 dBm = 1.349
-1.0 dBm = 1.338
-2.0 dBm = 1.326
-3.0 dBm = 1.315
CDMA RVS 출력
RANGE = 21
UPPER = 26
26.0 dBm = 2.337
25.0 dBm = 2.277
24.0 dBm = 2.216
23.0 dBm = 2.155
22.0 dBm = 2.095
21.0 dBm = 2.034
20.0 dBm = 1.983
19.0 dBm = 1.933
18.0 dBm = 1.882
17.0 dBm = 1.816
16.0 dBm = 1.750
15.0 dBm = 1.684
14.0 dBm = 1.632
13.0 dBm = 1.579
12.0 dBm = 1.527
11.0 dBm = 1.470
10.0 dBm = 1.414
9.0 dBm = 1.357
8.0 dBm = 1.310
7.0 dBm = 1.264
6.0 dBm = 1.217
LTE Fwd 출력(or AGC) (Avg) 
RANGE = 26
UPPER = 25
25.0 dBm = 2.434
24.0 dBm = 2.372
23.0 dBm = 2.310
22.0 dBm = 2.247
21.0 dBm = 2.185
20.0 dBm = 2.127
19.0 dBm = 2.069
18.0 dBm = 2.011
17.0 dBm = 1.946
16.0 dBm = 1.882
15.0 dBm = 1.817
14.0 dBm = 1.751
13.0 dBm = 1.685
12.0 dBm = 1.619
11.0 dBm = 1.558
10.0 dBm = 1.498
9.0 dBm = 1.437
8.0 dBm = 1.382
7.0 dBm = 1.327
6.0 dBm = 1.272
5.0 dBm = 1.227
4.0 dBm = 1.182
3.0 dBm = 1.137
2.0 dBm = 1.096
1.0 dBm = 1.055
0.0 dBm = 1.014
LTE RVS 출력
RANGE = 21
UPPER = 26
26.0 dBm = 2.488
25.0 dBm = 2.426
24.0 dBm = 2.365
23.0 dBm = 2.304
22.0 dBm = 2.242
21.0 dBm = 2.181
20.0 dBm = 2.112
19.0 dBm = 2.044
18.0 dBm = 1.975
17.0 dBm = 1.907
16.0 dBm = 1.839
15.0 dBm = 1.771
14.0 dBm = 1.714
13.0 dBm = 1.657
12.0 dBm = 1.600
11.0 dBm = 1.551
10.0 dBm = 1.503
9.0 dBm = 1.454
8.0 dBm = 1.416
7.0 dBm = 1.378
6.0 dBm = 1.340
CDMA/LTE(공통부) Fwd 입력
RANGE = 47
UPPER = -4
-4.0 dBm = 2.620
-5.0 dBm = 2.585
-6.0 dBm = 2.550
-7.0 dBm = 2.515
-8.0 dBm = 2.480
-9.0 dBm = 2.444
-10.0 dBm = 2.409
-11.0 dBm = 2.373
-12.0 dBm = 2.338
-13.0 dBm = 2.302
-14.0 dBm = 2.267
-15.0 dBm = 2.225
-16.0 dBm = 2.184
-17.0 dBm = 2.142
-18.0 dBm = 2.099
-19.0 dBm = 2.057
-20.0 dBm = 2.014
-21.0 dBm = 1.972
-22.0 dBm = 1.930
-23.0 dBm = 1.888
-24.0 dBm = 1.844
-25.0 dBm = 1.800
-26.0 dBm = 1.756
-27.0 dBm = 1.719
-28.0 dBm = 1.682
-29.0 dBm = 1.645
-30.0 dBm = 1.607
-31.0 dBm = 1.569
-32.0 dBm = 1.531
-33.0 dBm = 1.492
-34.0 dBm = 1.454
-35.0 dBm = 1.415
-36.0 dBm = 1.381
-37.0 dBm = 1.347
-38.0 dBm = 1.313
-39.0 dBm = 1.274
-40.0 dBm = 1.236
-41.0 dBm = 1.197
-42.0 dBm = 1.161
-43.0 dBm = 1.125
-44.0 dBm = 1.089
-45.0 dBm = 1.050
-46.0 dBm = 1.011
-47.0 dBm = 0.972
-48.0 dBm = 0.936
-49.0 dBm = 0.900
-50.0 dBm = 0.864
CDMA/LTE(공통부) Fwd 출력(or AGC) (Avg)
RANGE = 21
UPPER = 27
27.0 dBm = 3.306
26.0 dBm = 3.236
25.0 dBm = 3.167
24.0 dBm = 3.098
23.0 dBm = 3.028
22.0 dBm = 2.959
21.0 dBm = 2.900
20.0 dBm = 2.841
19.0 dBm = 2.782
18.0 dBm = 2.726
17.0 dBm = 2.670
16.0 dBm = 2.614
15.0 dBm = 2.540
14.0 dBm = 2.467
13.0 dBm = 2.393
12.0 dBm = 2.309
11.0 dBm = 2.224
10.0 dBm = 2.140
9.0 dBm = 2.075
8.0 dBm = 2.010
7.0 dBm = 1.945
CDMA/LTE(공통부) Rvs 입력
RANGE = 31
UPPER = -12
-12.0 dBm = 2.126
-13.0 dBm = 2.084
-14.0 dBm = 2.041
-15.0 dBm = 1.999
-16.0 dBm = 1.964
-17.0 dBm = 1.928
-18.0 dBm = 1.893
-19.0 dBm = 1.857
-20.0 dBm = 1.821
-21.0 dBm = 1.785
-22.0 dBm = 1.748
-23.0 dBm = 1.712
-24.0 dBm = 1.675
-25.0 dBm = 1.637
-26.0 dBm = 1.598
-27.0 dBm = 1.560
-28.0 dBm = 1.521
-29.0 dBm = 1.482
-30.0 dBm = 1.443
-31.0 dBm = 1.407
-32.0 dBm = 1.371
-33.0 dBm = 1.335
-34.0 dBm = 1.298
-35.0 dBm = 1.261
-36.0 dBm = 1.224
-37.0 dBm = 1.186
-38.0 dBm = 1.149
-39.0 dBm = 1.111
-40.0 dBm = 1.072
-41.0 dBm = 1.032
-42.0 dBm = 0.993
CDMA/LTE(공통부) RVS 출력
RANGE = 21
UPPER = 28
28.0 dBm = 2.567
